,basin_id,latitude,longitude,pax_strength,regions
197,1150,62.5789,11.3447,26.256,Europe
198,1156,62.7447,7.2625,757.262,Europe
199,1158,59.3789,10.7856,2073.228,Europe
200,1161,58.2042,8.0853,1064.387,Europe
201,1166,66.3667,14.3,106.316,Europe
202,1167,60.2933,5.2181,6505.827,Europe
203,1170,68.4914,16.6781,767.812,Europe
204,1172,64.4717,11.5706,86.527,Europe
205,1173,60.1939,11.1003,28572.06,Europe
206,1174,69.0558,18.5403,246.42,Europe
207,1175,50.1008,14.26,17804.9,Europe
208,1176,49.1514,16.6944,543.633,Europe
209,1178,50.0133,15.7386,102.045,Europe
210,1179,49.6961,18.1111,323.32,Europe
211,1203,49.6233,6.2044,4416.038,Europe
212,1205,32.0072,34.8806,24036.091,Middle East
213,1206,32.8094,35.0431,92.695,Middle East
214,1216,-12.0219,-77.1144,47070.032,South America
215,1220,-8.0847,-79.1094,648.497,South America
216,1230,-6.7875,-79.8281,678.698,South America
217,1231,-16.3408,-71.5725,1990.82,South America
218,1290,3.5581,98.6717,3721.771,Southeast Asia
219,1350,63.985,-22.6056,7598.678,Europe
220,1377,4.7017,-74.1469,34979.405,South America
221,1431,32.6942,-16.7981,2529.027,Europe
222,1432,37.7481,-25.6978,2030.302,Europe
223,1435,37.0144,-7.9658,6687.077,Europe
224,1437,36.9739,-25.1711,101.262,Europe
225,1439,38.7742,-9.1342,60378.053,Europe
226,1440,41.2356,-8.6781,23526.714,Europe
227,1442,49.4347,-2.6019,908.551,Europe
228,1462,-0.1411,-78.4883,5037.65,South America
229,1475,14.7425,-17.4933,2491.185,Africa
230,1487,46.7633,-56.1744,38.808,North America
231,1489,44.1747,0.5906,14.901,Europe
232,1491,48.4472,-4.4217,1233.426,Europe
233,1492,45.7858,3.1625,432.339,Europe
234,1494,48.7733,4.2061,81.74,Europe
235,1495,47.4319,0.7231,197.109,Europe
236,1496,48.9783,6.2467,358.212,Europe
237,1497,45.5342,4.2972,5.313,Europe
238,1498,47.975,-4.1678,57.203,Europe
239,1499,41.9239,8.8025,1618.357,Europe
240,1500,48.5878,-2.08,95.907,Europe
241,1502,44.8975,2.4167,38.413,Europe
242,1503,43.4367,5.215,10158.6,Europe
243,1504,45.6392,5.88,204.238,Europe
244,1505,50.5633,3.0869,2198.114,Europe
245,1506,43.5833,3.9614,2166.942,Europe
246,1507,42.5203,8.7931,336.672,Europe
247,1508,41.5022,9.0967,737.7,Europe
248,1509,47.0428,5.435,111.161,Europe
249,1511,44.8286,-0.7153,7703.143,Europe
250,1512,48.5419,7.6344,1285.23,Europe
251,1513,45.7256,5.0811,23179.525,Europe
252,1514,44.4075,2.4833,87.124,Europe
253,1515,49.1733,-0.45,438.619,Europe
254,1517,42.7408,2.8697,447.084,Europe
255,1518,43.38,-0.4186,1071.169,Europe
256,1519,43.635,1.3678,9642.925,Europe
257,1520,43.0972,6.1461,510.652,Europe
258,1521,43.2158,2.3086,399.263,Europe
259,1522,46.5875,0.3067,114.015,Europe
260,1523,48.755,-3.4744,3.876,Europe
261,1524,43.3233,3.3533,259.153,Europe
262,1525,47.1569,-1.6078,7241.928,Europe
263,1526,44.8244,0.5206,285.182,Europe
264,1529,42.55,9.4847,1558.9,Europe
265,1531,45.8608,1.1803,300.586,Europe
266,1532,48.0719,-1.7322,851.976,Europe
267,1533,47.5603,-0.3122,11.198,Europe
268,1534,43.6653,7.215,28218.326,Europe
269,1535,49.0097,2.5478,112140.689,Europe
270,1537,46.1792,-1.1953,233.001,Europe
271,1538,47.7606,-3.44,103.498,Europe
272,1539,54.9639,24.0847,2239.421,Europe
273,1540,55.9733,21.0939,352.144,Europe
274,1541,54.6342,25.2858,9671.067,Europe
275,1557,49.2078,-2.1953,1732.613,Europe
276,1560,14.5844,-90.5272,3034.546,Central America
277,1561,54.9644,9.7917,73.821,Europe
278,1562,55.7403,9.1517,3823.162,Europe
279,1563,56.2975,9.1247,114.313,Europe
280,1564,55.6203,12.6503,30274.295,Europe
281,1565,57.0928,9.8492,1446.294,Europe
282,1566,56.3039,10.6194,500.365,Europe
283,1567,55.0633,14.7603,236.428,Europe
284,1568,54.0833,-4.6242,854.676,Europe
285,1571,-41.5453,147.2111,1395.304,Oceania
286,1575,-41.1697,146.4303,148.332,Oceania
287,1578,-32.2189,148.5756,198.461,Oceania
288,1581,-26.545,148.7747,86.207,Oceania
289,1595,-34.945,138.5306,8516.171,Oceania
290,1596,-27.5428,151.9172,110.357,Oceania
291,1600,-35.1653,147.4664,207.417,Oceania
292,1602,-39.8775,143.8783,45.936,Oceania
293,1603,-27.3842,153.1175,46051.292,Oceania
294,1608,-34.7022,146.5122,13.819,Oceania
295,1610,-28.8339,153.5625,1022.169,Oceania
296,1612,-33.9461,151.1772,44428.845,Oceania
297,1615,-31.9403,115.9669,12513.516,Oceania
298,1617,-29.4989,149.8447,31.522,Oceania
299,1618,-42.8361,147.5103,5285.272,Oceania
300,1620,-30.3192,149.8272,7.439,Oceania
301,1624,-31.8886,152.5139,9.424,Oceania
302,1630,-31.4356,152.8622,218.504,Oceania
303,1639,-25.32,152.8803,166.839,Oceania
304,1642,-31.0839,150.8467,188.914,Oceania
305,1644,-35.8983,150.1461,21.619,Oceania
306,1648,-37.6733,144.8433,37205.645,Oceania
307,1655,-35.3069,149.195,6267.941,Oceania
308,1657,-32.795,151.8344,2446.3,Oceania
309,1660,-36.0678,146.9581,252.501,Oceania
